Game_Name;game_released;game_rating(max5);game_plattaform;game_genre;game_stores;game_tags_name;game_rating(max10);game_top
Grand Theft Auto V;17/09/2013;447;LINUX;INDIE;['PlayStation Store', 'Xbox Store', 'Xbox 360 Store', 'Steam'];['Full controller support', 'Steam Achievements', 'Atmospheric', 'Comedy', 'Co-op', 'Crime', 'First-Person', 'Funny', 'Great Soundtrack', 'Mature', 'Moddable', 'Multiplayer', 'Open World', 'RPG', 'Sandbox', 'Singleplayer', 'Third Person', 'Third-Person Shooter', 'cooperative'];8,94;true
Portal 2;19/04/2011;461;PLAYSTATION_4;CREPPY;['Xbox 360 Store', 'PlayStation Store', 'Steam'];['Captions available', 'Commentary available', 'Full controller support', 'Includes level editor', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Steam Workshop', 'Comedy', 'Co-op', 'Female Protagonist', 'First-Person', 'FPS', 'Funny', 'Local Co-Op', 'Multiplayer', 'Online Co-Op', 'Science', 'Sci-fi', 'Singleplayer', 'Space', 'Story Rich', 'cooperative', 'steam-trading-cards', 'stats'];9,22;true
The Witcher 3: Wild Hunt;18/05/2015;468;WII_U;CASUAL;['GOG', 'Xbox Store', 'Steam', 'PlayStation Store'];['Full controller support', 'Action RPG', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Choices Matter', 'Dark', 'Dark Fantasy', 'Fantasy', 'Great Soundtrack', 'Magic', 'Mature', 'Medieval', 'Multiple Endings', 'Nudity', 'Open World', 'RPG', 'Sandbox', 'Singleplayer', 'Story Rich', 'Third Person', 'achievements', 'controller support', 'overlay', 'cloud saves', 'role-playing', 'steam-trading-cards'];9,36;true
The Elder Scrolls V: Skyrim;11/11/2011;441;ANDROID;PUZZLE;['Xbox 360 Store', 'Nintendo Store', 'Steam', 'PlayStation Store'];['Action RPG', 'Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Steam Workshop', 'Character Customization', 'Dark Fantasy', 'Dragons', 'Fantasy', 'First-Person', 'Great Soundtrack', 'Lore-Rich', 'Magic', 'Medieval', 'Moddable', 'Open World', 'RPG', 'Sandbox', 'Singleplayer', 'Story Rich', 'Third Person', 'role-playing', 'steam-trading-cards'];8,82;true
Left 4 Dead 2;17/11/2009;411;ANDROID;SPORTS;['Xbox 360 Store', 'Steam'];['Captions available', 'Commentary available', 'Full controller support', 'Includes Source SDK', 'Steam Achievements', 'Steam Cloud', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Co-op', 'First-Person', 'FPS', 'Gore', 'Horror', 'Local Co-Op', 'Moddable', 'Multiplayer', 'Online Co-Op', 'Post-apocalyptic', 'Replay Value', 'Singleplayer', 'Survival', 'Survival Horror', 'Tactical', 'Team-Based', 'Zombies', 'cooperative', 'steam-trading-cards', 'stats'];8,22;true
Borderlands 2;18/09/2012;405;DREAMCAST;PUZZLE;['PlayStation Store', 'Xbox Store', 'App Store', 'Xbox 360 Store', 'Steam', 'Google Play'];['Full controller support', 'Action RPG', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Comedy', 'Co-op', 'Dark Humor', 'FPS', 'Funny', 'Futuristic', 'Loot', 'Memes', 'Multiplayer', 'Online Co-Op', 'Open World', 'RPG', 'Sci-fi', 'Singleplayer', 'Stylized', 'cooperative', 'steam-trading-cards'];8,1;true
BioShock Infinite;26/03/2013;437;COMMODORE_AMIGA;RACING;['App Store', 'Xbox 360 Store', 'Steam', 'PlayStation Store'];['Full controller support', 'Alternate History', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Controller', 'Dystopian', 'Fantasy', 'First-Person', 'FPS', 'Gore', 'Great Soundtrack', 'Linear', 'Political', 'RPG', 'Sci-fi', 'Singleplayer', 'Steampunk', 'Story Rich', 'Time Travel', 'steam-trading-cards'];8,74;true
Portal;09/10/2007;451;SEGA_SATURN;INDIE;['Google Play', 'Steam'];['Captions available', 'Commentary available', 'Includes level editor', 'Includes Source SDK', 'Partial Controller Support', 'Steam Achievements', 'Atmospheric', 'Classic', 'Comedy', 'Dark Humor', 'Female Protagonist', 'First-Person', 'FPS', 'Funny', 'Great Soundtrack', 'Physics', 'Science', 'Sci-fi', 'Short', 'Singleplayer', 'Story Rich'];9,02;true
Life is Strange;29/01/2015;411;GAME_BOY_ADVANCE;ARCADE;['App Store', 'Xbox 360 Store', 'Google Play', 'Xbox Store', 'Steam', 'PlayStation Store'];['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Choices Matter', 'Episodic', 'Female Protagonist', 'Great Soundtrack', 'Memes', 'Multiple Endings', 'Mystery', 'Point & Click', 'Short', 'Singleplayer', 'Story Rich', 'Third Person', 'Time Manipulation', 'Time Travel', 'Walking Simulator', 'steam-trading-cards', 'european'];8,22;true
Counter-Strike: Global Offensive;21/08/2012;359;CLASSIC_MACINTOSH; CARD;['Xbox 360 Store', 'Steam', 'PlayStation Store'];['Full controller support', 'In-App Purchases', 'Steam Achievements', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Competitive', 'Co-op', 'e-sports', 'Fast-Paced', 'First-Person', 'FPS', 'Military', 'Moddable', 'Multiplayer', 'Online Co-Op', 'PvP', 'Realistic', 'Tactical', 'Team-Based', 'Trading', 'War', 'cooperative', 'steam-trading-cards', 'stats'];7,18;false
